date,trade_balance
2020-06-01,-71730.0
2020-07-01,-80570.0
2020-08-01,-83184.0
2020-09-01,-78363.0
2020-10-01,-82281.0
2020-11-01,-86159.0
2020-12-01,-83683.0
2021-01-01,-85276.0
2021-02-01,-87752.0
2021-03-01,-87442.0
2021-04-01,-86406.0
2021-05-01,-87414.0
2021-06-01,-92228.0
2021-07-01,-87418.0
2021-08-01,-90075.0
2021-09-01,-93608.0
2021-10-01,-85158.0
2021-11-01,-100024.0
2021-12-01,-100390.0
2022-01-01,-105064.0
2022-02-01,-104529.0
2022-03-01,-119981.0
2022-04-01,-103845.0
2022-05-01,-102177.0
2022-06-01,-99398.0
2022-07-01,-88655.0
2022-08-01,-87630.0
2022-09-01,-88770.0
2022-10-01,-96831.0
2022-11-01,-84760.0
2022-12-01,-92925.0
2023-01-01,-91071.0
2023-02-01,-92171.0
2023-03-01,-81937.0
2023-04-01,-93950.0
2023-05-01,-89397.0
2023-06-01,-88851.0
2023-07-01,-88294.0
2023-08-01,-84221.0
2023-09-01,-83759.0
2023-10-01,-87230.0
2023-11-01,-88444.0
2023-12-01,-88171.0
